d01,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2/3/2021,7.1565,6.977,6.854,6.8915,6.7745,6.843,6.7965,6.853,6.676,8.8535,7.0325,7.067,11.824,12.4765,13.027,11.543,14.6775,15.9125,20.61,14.395,16.647,14.9135,17.762,12.947,19.6,16.032,23.949,19.4065,19.823,13.482,14.9995,13.988,13.571,12.1205,12.1655,10.3265,11.4685,11.2365,9.6635,8.7675,9.013,8.3,7.656,7.4005,7.1785,6.8805,6.4345,6.359
2/4/2021,6.2765,6.336,6.304,6.2355,6.1835,6.313,6.2205,6.177,6.175,6.084,6.495,12.4855,8.9295,9.32,19.2945,16.0595,19.4615,11.5305,17.922,16.8125,20.1005,10.223,11.3945,17.969,18.8615,18.5805,19.044,18.309,13.193,11.175,12.5745,12.74,13.144,11.272,10.4535,11.5945,12.1885,9.8725,9.9435,10.0275,9.9315,10.26,10.843,8.99,8.287,7.6075,7.7195,7.5965
2/5/2021,7.358,7.54,7.4255,7.114,7.5615,7.17,7.2555,7.4465,7.048,7.233,7.248,7.512,14.6175,11.4795,18.3785,17.474,17.718,17.6105,19.2105,13.6915,19.2115,13.4065,18.1795,13.5905,14.3865,20.264,16.6755,17.638,12.4555,12.7345,11.3115,12.407,14.9775,11.5395,11.0875,10.895,10.5,9.406,9.128,9.185,9.299,8.4725,8.108,7.728,7.3405,7.3375,6.8535,6.799
2/6/2021,7.1825,6.586,6.4005,6.4625,9.863,8.4425,8.3455,7.1915,6.8295,7.0055,9.142,10.2765,8.437,11.892,13.3095,13.4845,15.655,19.733,19.2175,19.597,19.1425,11.77,18.9605,19.7405,15.627,18.679,22.336,18.064,15.0595,12.619,12.411,12.2965,12.694,11.089,10.373,11.4085,10.856,10.4005,8.788,8.8425,8.9705,10.1275,8.6845,7.6495,7.4105,7.5275,7.6575,9.356
2/7/2021,7.111,6.765,6.956,6.563,6.494,6.5095,9.9415,8.505,7.863,6.919,6.844,7.3395,8.3285,12.935,10.3775,9.604,18.1995,15.6665,17.588,23.751,20.0595,13.9755,20.3195,18.914,15.978,21.125,19.4805,14.9875,12.453,11.3005,10.075,10.4725,9.997,10.5145,10.949,9.929,10.7085,9.893,8.097,8.285,12.6955,8.335,7.5845,7.548,10.439,7.562,7.096,6.669
2/8/2021,7.511,8.9975,6.363,6.5015,6.494,6.5175,6.366,6.4685,6.4055,6.5995,7.049,7.4915,11.766,14.0875,20.1155,15.155,22.82,17.967,19.3525,25.251,12.065,13.56,18.2735,18.645,20.138,21.713,20.728,16.1095,15.7085,13.6555,13.6295,12.6845,14.999,10.746,11.487,10.786,11.3825,10.759,8.8415,8.1465,8.387,8.45,7.829,7.182,6.87,6.765,6.6275,6.641
2/9/2021,6.515,6.5045,6.383,6.307,6.35,6.3975,6.552,6.3875,6.745,6.5445,6.9405,11.2915,11.5045,20.254,15.998,14.409,18.206,21.137,17.3515,23.478,21.2545,19.209,17.0845,20.2855,20.458,16.9085,17.2205,19.022,18.8795,13.1555,11.804,13.497,9.9125,11.834,13.011,10.9815,11.932,11.6535,9.1585,9.922,10.5905,9.0315,8.671,8.525,8.399,7.854,7.6905,7.432
2/10/2021,7.458,7.5095,7.6445,7.4285,7.279,7.5285,7.689,7.6335,7.704,7.5115,7.37,8.981,13.6865,11.5015,23.178,13.244,14.224,14.2605,18.3535,15.2745,20.222,11.8865,23.4935,16.398,15.836,17.988,18.3605,17.854,17.077,17.1275,14.9255,12.209,9.7335,11.098,11.3325,11.064,11.2905,10.488,9.031,8.334,8.443,8.338,10.2375,9.5905,8.447,7.3505,7.2535,7.1605
2/11/2021,7.121,6.9625,6.957,6.871,12.5385,11.2305,7.1055,6.9085,6.8995,6.882,7.0245,16.191,12.4815,11.6295,17.9695,11.7305,15.752,11.8835,11.491,21.659,15.149,11.2775,18.9635,21.754,20.9955,17.758,20.2975,16.545,16.593,14.31,19.206,9.9485,10.3325,10.841,10.185,11.4405,10.6295,11.102,8.4625,8.4455,8.218,12.345,7.6325,7.4305,7.155,6.56,6.759,6.2845
2/12/2021,12.346,6.6125,6.2395,6.119,6.2835,6.2445,6.387,6.1675,6.178,6.426,6.936,15.5005,10.4005,11.291,20.2135,13.0245,18.1545,14.4575,15.8545,20.044,17.869,13.2935,16.193,18.5245,20.417,16.9705,15.5665,14.472,10.9165,14.2915,17.431,14.204,12.399,10.1645,10.1535,11.054,10.6135,9.8865,8.944,8.446,8.1655,8.3815,8.045,8.05,6.9825,7.1665,6.976,6.343
