Demand,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
24/01/2021,13.7635,0.7873,5.9805,0.9491,0.8768,6.3215,0.7713,1.2304,5.704,0.9488,1.3472,6.187,0.8514,1.2768,0.976,1.4048,1.0224,0.7392,1.3088,0.7792,1.464,1.8896,0.3744,0.6352,0.8064,0.5632,1.072,2.4256,2.4528,2.296,2.4272,2.6512,2.816,2.872,3,2.8512,2.8592,2.8976,2.9136,2.008,2.736,2.0624,1.8704,1.7168,2.1072,2.048,18.763,20.1775
25/01/2021,4.3139,2.2736,2.9296,2.7584,1.0512,2.712,2.5456,0.8928,2.6432,2.2624,2.5488,1.1216,3.0416,1.1472,1.8352,1.3232,0.7152,2.2304,1.416,2.296,2.3232,1.4944,6.198,5.413,0.5922,0.0112,0,0,0.2912,0.5344,0.9312,2.1776,2.64,2.3712,2.3424,1.7856,1.9152,2.3008,1.7776,1.7072,1.376,1.104,1.7984,0.8592,0.8272,1.4048,17.776,20.302
26/01/2021,20.52,19.9155,0.9233,1.3344,0.8688,6.987,1.1362,0.7312,1.4016,5.648,0.9936,1.4176,5.5325,11.4865,21.051,19.938,2.4896,6.694,5.7825,3.7699,3.7776,1.6864,2.136,1.7568,1.968,3.3248,1.288,1.6208,1.3744,2.9936,3.1472,8.152,8.3725,5.2275,2.1584,2.3152,1.4928,1.9584,1.6784,1.1616,1.5376,0.9216,1.5536,0.8176,1.5472,1.048,18.638,20.024
27/01/2021,20.389,19.7105,20.296,20.0975,20.587,20.05,20.8285,20.0705,20.512,2.1698,1.6768,5.5615,1.8705,8.3005,21.2895,21.0595,7.6015,6.24,3.0738,2.192,1.0192,0.1488,0.8704,0.5696,0,0.9568,1.12,1.0928,2.52,1.864,2.5168,2.1952,3.9072,3.312,3.4432,3.0496,2.4064,2.5776,1.9376,3.0848,1.7088,2.1488,1.6656,1.8992,2.4528,1.4416,18.654,20.0835
28/01/2021,20.7245,20.6945,20.048,20.3665,20.2225,21.2335,20.163,20.522,19.99,20.4355,3.7329,3.216,1.76,17.872,21.182,21.005,5.1665,7.6125,3.5924,2.1888,1.2384,1.3136,2.3584,1.832,1.8928,15.571,10.189,1.3232,0.6704,1.0144,7.432,3.7136,18.2125,21.261,21.2945,20.7805,20.2225,21.283,20.954,19.763,20.6785,20.515,19.768,20.4595,15.808,2.7904,4.9968,6.219
29/01/2021,1.3218,6.886,1.9332,1.7856,6.8255,1.2705,3.808,6.451,1.397,4.4352,0.9744,6.552,2.0848,3.9968,7.176,2.312,0.8896,4.4512,5.555,1.9026,2.1552,1.9232,1.0368,1.6576,0.5184,0.3456,2.2416,3.0032,5.595,4.7762,4.16,2.912,3.2704,3.752,3.6912,2.3792,2.2976,2.5216,2.5168,2.0112,1.9424,1.68,1.2128,1.7136,1.9856,1.6848,18.3325,20.4195
30/01/2021,20.646,20.528,21.016,19.9585,20.7055,20.5665,16.1505,1.6898,2.4656,3.1904,2.8992,3.1808,1.768,1.656,0.9104,1.664,0.8224,1.4688,0.6496,0.816,0.4912,0.4352,0.136,0.176,0.1824,0.2256,0.0128,0.0704,0.0368,0.3728,0.0512,0.6624,0.656,1.5696,0.8096,1.5168,0.9264,1.7216,0.8096,1.3984,1.0112,0.8064,1.696,0.816,1.5952,0.8976,18.4,20.0735
31/01/2021,4.5089,3.3184,0.768,3.6192,2.2704,3.1088,2.8896,1.328,2.1952,2.792,2.1264,3.2848,0.8832,1.2624,1.0576,1.7584,0.8544,0.056,0.7328,0,0.0176,0.3392,0,0,0,0,0.2368,0,0,0.5056,1.8144,2.1808,2.7664,2.8496,2.4912,2.2528,1.6688,1.7568,2.1408,1.9392,1.1552,1.5984,1.8208,1.36,1.8528,1.7424,17.8975,20.5985
01/02/2021,1.5376,3.3152,2.5424,0.8432,3.008,2.4832,2.3216,1.4672,2.2624,2.304,2.92,0.8352,2.5376,1.8816,1.1856,1.2048,0.9872,0.0928,0.0128,0,0,0,0,0,0,0,0,0,0.0032,0.048,0.1552,0.6416,3.0528,2.5216,2.1968,1.7008,1.3408,2.0128,1.1152,1.1728,1.1008,0.9408,1.616,0.8256,0.9152,1.3968,17.8365,20.229
02/02/2021,20.08,14.1375,1.4418,2.0576,3.1504,1.6944,5.494,1.2612,1.0736,6.022,2.1172,0.9712,1.2416,11.7245,20.784,21.8705,4.8562,6.3535,6.096,2.3105,4.0192,0.328,2.1424,0.6544,0.2064,0.0144,0.0128,0,0.7664,0.8416,2.968,4.144,3.616,3.2368,2.3952,2.7328,2.0208,2.6656,1.6928,2.056,1.5264,1.9696,1.6064,1.6752,1.4944,1.1344,18.23,20.282
